id,book,paragraph,title,abbr
248,203,2361,khuddasikkhā,KhuddasAbhT
249,203,3100,mūlasikkhā,Mūlas
250,203,3481,mūlasikkhā,MūlasT
251,204,3,sāratthadīpanī-ṭīkā,VinT
252,205,3,sāratthadīpanī-ṭīkā,VinT
253,206,3,sāratthadīpanī-ṭīkā,VinT
254,206,717,sāratthadīpanī-ṭīkā,VinT
255,206,1753,sāratthadīpanī-ṭīkā,VinT
256,206,2154,sāratthadīpanī-ṭīkā,VinT
257,207,3,pātimokkhapāḷi,Pātim
258,207,524,pātimokkhapāḷi,Pātim
259,207,1215,kaṅkhāvitaraṇī,Kkh
260,208,3,vinayasaṅgaha-aṭṭhakathā,VinSgh
261,209,3,vajirabuddhi-ṭīkā,VjbT
262,209,166,vajirabuddhi-ṭīkā,VjbT
263,209,992,vajirabuddhi-ṭīkā,VjbT
264,209,1708,vajirabuddhi-ṭīkā,VjbT
265,209,2217,vajirabuddhi-ṭīkā,VjbT
266,209,2428,vajirabuddhi-ṭīkā,VjbT
267,210,3,vimativinodanī-ṭīkā,VmvT
268,210,1658,vimativinodanī-ṭīkā,VmvT
269,210,1779,vimativinodanī-ṭīkā,VmvT
270,210,2431,vimativinodanī-ṭīkā,VmvT
271,210,2792,vimativinodanī-ṭīkā,VmvT
272,211,3,vinayālaṅkāra-ṭīkā,Vinālk
273,212,2,kaṅkhāvitaraṇī,KkhPT
274,212,671,kaṅkhāvitaraṇī,KkhAbhT
275,213,3,vinayapiṭaka,Vin
276,214,3,vinayapiṭaka,Vin
277,215,3,vinayapiṭaka,Vin
278,216,3,vinayapiṭaka,Vin
279,217,3,vinayapiṭaka,Vin
280,139,925,samantapāsādikā,VinA
281,214,2162,vinayapiṭaka,Vin
